Age,Year,Week,week_end_date,observed,expected,excess
65-74 years,2021,32,2021-08-14,1452,741.765043300822,710.234956699178
65-74 years,2021,33,2021-08-21,1466,745.268008992585,720.731991007415
65-74 years,2021,34,2021-08-28,1563,759.020828831148,803.979171168852
65-74 years,2021,35,2021-09-04,1529,738.257837290734,790.742162709266
65-74 years,2021,36,2021-09-11,1447,764.265900653134,682.734099346866
65-74 years,2021,37,2021-09-18,1349,757.754776954774,591.245223045226
65-74 years,2021,38,2021-09-25,1239,774.509651780178,464.490348219822
65-74 years,2021,39,2021-10-02,1115,772.019411786243,342.980588213757
65-74 years,2021,40,2021-10-09,1089,786.018061610667,302.981938389333
65-74 years,2021,41,2021-10-16,993,764.525804146399,228.474195853601
65-74 years,2021,42,2021-10-23,950,763.264522464136,186.735477535864
65-74 years,2021,43,2021-10-30,920,783.015363365229,136.984636634772
65-74 years,2021,44,2021-11-06,952,753.263847507976,198.736152492024
65-74 years,2021,45,2021-11-13,873,818.271255068803,54.7287449311975
65-74 years,2021,46,2021-11-20,893,796.760816341406,96.2391836585945
65-74 years,2021,47,2021-11-27,853,843.034218560855,9.96578143914508
65-74 years,2021,48,2021-12-04,903,828.014014955005,74.9859850449952
65-74 years,2021,49,2021-12-11,985,820.023443183447,164.976556816553
65-74 years,2021,50,2021-12-18,897,839.265866825726,57.7341331742745
65-74 years,2021,51,2021-12-25,929,842.018728957856,86.9812710421441
65-74 years,2021,52,2022-01-01,966,859.011994438965,106.988005561035
65-74 years,2022,1,2022-01-08,1033,843.030598128744,189.969401871256
65-74 years,2022,2,2022-01-15,1133,867.519739091951,265.480260908049
65-74 years,2022,3,2022-01-22,1160,881.020075811456,278.979924188544
65-74 years,2022,4,2022-01-29,1208,893.027483757087,314.972516242913
65-74 years,2022,5,2022-02-05,1212,919.026810304834,292.973189695166
65-74 years,2022,6,2022-02-12,1097,881.514351479669,215.485648520331
65-74 years,2022,7,2022-02-19,1117,890.770244165537,226.229755834463
65-74 years,2022,8,2022-02-26,990,878.766876915256,111.233123084744
65-74 years,2022,9,2022-03-05,943,912.013341302717,30.9866586972826
65-74 years,2022,10,2022-03-12,974,907.023443051344,66.9765569486559
65-74 years,2022,11,2022-03-19,947,883.145169353392,63.8548306466078
65-74 years,2022,12,2022-03-26,904,862.933547500335,41.066452499665
65-74 years,2022,13,2022-04-02,880,900.429103482895,-20.4291034828946
65-74 years,2022,14,2022-04-09,870,904.148827667057,-34.1488276670569
65-74 years,2022,15,2022-04-16,850,878.831152801613,-28.8311528016134
65-74 years,2022,16,2022-04-23,815,827.524405223983,-12.5244052239832
65-74 years,2022,17,2022-04-30,879,871.324129982968,7.67587001703237
65-74 years,2022,18,2022-05-07,875,848.958451435624,26.0415485643763
65-74 years,2022,19,2022-05-14,895,831.171756814221,63.8282431857787
65-74 years,2022,20,2022-05-21,859,848.05323961147,10.9467603885302
75-84 years,2020,11,2020-03-14,1134,1134.26136230522,-0.261362305221155
75-84 years,2020,12,2020-03-21,1169,1132.53375025025,36.4662497497468
75-84 years,2020,13,2020-03-28,1111,1152.39291204077,-41.3929120407649
75-84 years,2020,14,2020-04-04,1136,1086.72967857729,49.2703214227058
75-84 years,2020,15,2020-04-11,1165,1074.1778070579,90.8221929421004
75-84 years,2020,16,2020-04-18,1130,1071.36720005517,58.6327999448308
75-84 years,2020,17,2020-04-25,1180,1061.82038909449,118.179610905505
75-84 years,2020,18,2020-05-02,1022,998.78541887954,23.2145811204605
75-84 years,2020,19,2020-05-09,1132,1046.41755071283,85.5824492871693
75-84 years,2020,20,2020-05-16,1032,1024.31820837634,7.68179162365595
75-84 years,2020,21,2020-05-23,1093,975.658490053833,117.341509946167
75-84 years,2020,22,2020-05-30,1042,1011.3509392862,30.6490607138037
75-84 years,2020,23,2020-06-06,1068,1011.17725117674,56.822748823261
75-84 years,2020,24,2020-06-13,1025,975.633115106628,49.3668848933719
75-84 years,2020,25,2020-06-20,1067,974.088556562918,92.911443437082
75-84 years,2020,26,2020-06-27,1077,965.200766510122,111.799233489878
75-84 years,2020,27,2020-07-04,1145,1010.30940577965,134.690594220352
75-84 years,2020,28,2020-07-11,1283,977.444712658274,305.555287341727
75-84 years,2020,29,2020-07-18,1429,946.555187531777,482.444812468223
75-84 years,2020,30,2020-07-25,1464,934.518594324926,529.481405675074
75-84 years,2020,31,2020-08-01,1510,965.004735614873,544.995264385127
75-84 years,2020,32,2020-08-08,1449,975.677229400004,473.322770599996
75-84 years,2020,33,2020-08-15,1432,907.745240840837,524.254759159163
75-84 years,2020,34,2020-08-22,1357,974.199711052015,382.800288947985
75-84 years,2020,35,2020-08-29,1268,956.15463477866,311.84536522134
75-84 years,2020,36,2020-09-05,1196,940.918497016895,255.081502983105
75-84 years,2020,37,2020-09-12,1148,978.908648175525,169.091351824475
75-84 years,2020,38,2020-09-19,1182,975.296968392191,206.703031607809
75-84 years,2020,39,2020-09-26,1061,987.753052895427,73.2469471045731
75-84 years,2020,40,2020-10-03,1102,979.710511591806,122.289488408194
75-84 years,2020,41,2020-10-10,1101,984.115518164166,116.884481835834
75-84 years,2020,42,2020-10-17,1122,979.218140161546,142.781859838454
75-84 years,2020,43,2020-10-24,1122,999.693694125425,122.306305874575
75-84 years,2020,44,2020-10-31,1096,1007.37537384144,88.6246261585636
75-84 years,2020,45,2020-11-07,1093,1002.37577825255,90.6242217474539
75-84 years,2020,46,2020-11-14,1166,1046.89496201728,119.105037982719
75-84 years,2020,47,2020-11-21,1181,1047.3372147102,133.662785289799
75-84 years,2020,48,2020-11-28,1202,1039.11890675027,162.88109324973
75-84 years,2020,49,2020-12-05,1238,1114.0323576708,123.967642329205
75-84 years,2020,50,2020-12-12,1339,1075.98567922376,263.014320776239
75-84 years,2020,51,2020-12-19,1259,1037.86772175748,221.132278242517
75-84 years,2020,52,2020-12-26,1346,1095.19518426731,250.804815732692
75-84 years,2020,53,2021-01-02,1477,1095.19518426731,381.804815732692
75-84 years,2021,2,2021-01-16,1639,1140.41194150422,498.588058495778
75-84 years,2021,3,2021-01-23,1531,1117.71028671404,413.289713285964
75-84 years,2021,4,2021-01-30,1504,1147.84383881665,356.156161183348
75-84 years,2021,5,2021-02-06,1491,1111.97196645266,379.028033547337
75-84 years,2021,6,2021-02-13,1449,1160.9682561281,288.031743871903
75-84 years,2021,7,2021-02-20,1276,1136.85070650614,139.149293493863
75-84 years,2021,8,2021-02-27,1283,1132.83990727856,150.160092721442
75-84 years,2021,9,2021-03-06,1267,1120.96054610883,146.039453891175
75-84 years,2021,10,2021-03-13,1228,1125.21202852835,102.787971471648
75-84 years,2021,11,2021-03-20,1180,1124.79915890853,55.2008410914668
